Date,Time,NSW1,QLD1,SA1,SNOWY1,TAS1,VIC1
1/1/2020,0:30:00,7134.15,6029.36,1419.45,0,1001.15,4185.32
1/1/2020,1:00:00,6886.14,5954.32,1361.94,0,997.86,4057.68
1/1/2020,1:30:00,6682.01,5888.68,1256.3,0,984.03,3954.85
1/1/2020,2:00:00,6452.46,5820.63,1202.3,0,975.72,3792.25
1/1/2020,2:30:00,6286.89,5750.66,1170.07,0,959.92,3689.33
1/1/2020,3:00:00,6163.74,5705.83,1151.99,0,939.18,3602.61
1/1/2020,3:30:00,6097.16,5662.17,1133.61,0,956.08,3550.62
1/1/2020,4:00:00,6064.02,5593.15,1125.55,0,964.86,3504.19
1/1/2020,4:30:00,6067.83,5580.14,1118.56,0,960.67,3491.36
1/1/2020,5:00:00,6037.57,5570.9,1120.8,0,942.15,3483.63
1/1/2020,5:30:00,6067.13,5549.25,1124.89,0,955.35,3497.77
1/1/2020,6:00:00,6069.47,5490.26,1119.88,0,950.53,3511.44
1/1/2020,6:30:00,6101.89,5478.27,1089.95,0,961.62,3540.62
1/1/2020,7:00:00,6125.52,5440.92,1049.18,0,944.24,3514.43
1/1/2020,7:30:00,6239.39,5502.83,991.23,0,961,3423.34
1/1/2020,8:00:00,6294.45,5531.49,927.15,0,965.52,3396.71
1/1/2020,8:30:00,6356.82,5511.21,848.82,0,962.11,3357.29
1/1/2020,9:00:00,6333.78,5468.43,761.16,0,961.35,3301.41
1/1/2020,9:30:00,6418.06,5436.93,686.57,0,967.71,3245.13
1/1/2020,10:00:00,6424.01,5447.44,623.05,0,977.83,3169.12
1/1/2020,10:30:00,6493.55,5501.28,559.1,0,976.51,3146.34
1/1/2020,11:00:00,6593.13,5542.52,534.18,0,972.44,3095.2
1/1/2020,11:30:00,6679.28,5593.34,494.12,0,960.63,3069.29
1/1/2020,12:00:00,6815,5655.97,468.22,0,942.23,3060.58
1/1/2020,12:30:00,6954.52,5742.94,458.89,0,929.48,3068.81
1/1/2020,13:00:00,7087.53,5885.97,475.46,0,922.06,3085.47
1/1/2020,13:30:00,7187.66,6006.93,486.47,0,920.43,3131.31
1/1/2020,14:00:00,7365.48,6168.56,489.6,0,938.21,3187.66
1/1/2020,14:30:00,7528.5,6314.93,513.62,0,959.43,3273.67
1/1/2020,15:00:00,7716.27,6569.26,565.77,0,962.22,3381.79
1/1/2020,15:30:00,7897.09,6771.49,615.46,0,962.29,3565.42
1/1/2020,16:00:00,8154.28,6991.68,682.56,0,968.63,3775.71
1/1/2020,16:30:00,8337.13,7236.14,789.69,0,1001.22,3980.79
1/1/2020,17:00:00,8492.82,7517.19,887.52,0,1032.96,4155.4
1/1/2020,17:30:00,8470.11,7701.29,998.28,0,1052.83,4306.64
1/1/2020,18:00:00,8438.46,7806.6,1104.43,0,1053.67,4460.98
1/1/2020,18:30:00,8307.12,7809.47,1233.28,0,1067.17,4511.73
1/1/2020,19:00:00,8218.6,7850.27,1302.24,0,1075.79,4473.78
1/1/2020,19:30:00,8184.05,7810.09,1356.97,0,1075.95,4375.39
1/1/2020,20:00:00,8120.49,7769.28,1375.64,0,1069.75,4362.22
1/1/2020,20:30:00,7983.82,7658.33,1389.68,0,1081.37,4368.19
1/1/2020,21:00:00,7801.16,7470.52,1378.45,0,1063.19,4290.62
1/1/2020,21:30:00,7721.82,7252.72,1335.98,0,1054.65,4201.61
1/1/2020,22:00:00,7616.27,7051.53,1290.32,0,1039.81,4084.88
1/1/2020,22:30:00,7540.84,6898.7,1264.05,0,1015.21,3989.79
1/1/2020,23:00:00,7390.02,6727.81,1248.47,0,1015.78,3949.52
1/1/2020,23:30:00,7171.48,6462.68,1245.8,0,1007.56,4161.55
2/1/2020,0:00:00,7038.56,6217.92,1419.96,0,997.78,4179.68
2/1/2020,0:30:00,6846.48,6085.86,1348.65,0,993.95,4009.42
2/1/2020,1:00:00,6609.17,5932.56,1311.34,0,984.17,3890.59
2/1/2020,1:30:00,6366.87,5833.22,1234.27,0,969.55,3808.22
2/1/2020,2:00:00,6195.79,5747.96,1194.07,0,976.77,3698.75
2/1/2020,2:30:00,6097.17,5665.23,1176.69,0,970.61,3616.33
2/1/2020,3:00:00,6037.57,5645.35,1172.08,0,966.31,3568.79
2/1/2020,3:30:00,6044.42,5631.38,1165.66,0,973.87,3575.64
2/1/2020,4:00:00,6076.03,5627.45,1158.16,0,977.12,3589.27
2/1/2020,4:30:00,6241.84,5644.24,1152.82,0,986.48,3666.17
2/1/2020,5:00:00,6335.87,5692.81,1163.67,0,988.31,3719.43
2/1/2020,5:30:00,6534.93,5717.75,1149.75,0,1018.81,3856.54
2/1/2020,6:00:00,6759.37,5748.14,1167.64,0,1039.72,3972.69
2/1/2020,6:30:00,6925.48,5861.98,1185.33,0,1051.45,4115.17
2/1/2020,7:00:00,7096.01,5973.54,1196.77,0,1050.37,4225.19
2/1/2020,7:30:00,7276.92,6167.49,1154.73,0,1064.47,4200.02
2/1/2020,8:00:00,7462.45,6228.1,1101.3,0,1081.79,4219.34
2/1/2020,8:30:00,7565.95,6373.31,1061.81,0,1076.67,4239.15
2/1/2020,9:00:00,7590.13,6365.16,998.01,0,1073.45,4165.28
2/1/2020,9:30:00,7639.87,6400.18,943.3,0,1078.72,4100.04
2/1/2020,10:00:00,7637.71,6396.05,872.3,0,1093.07,4036.73
2/1/2020,10:30:00,7624.85,6374.7,850.71,0,1079.3,3993.03
2/1/2020,11:00:00,7637.84,6404.11,810.47,0,1068.57,3962.8
2/1/2020,11:30:00,7672.68,6424.39,805.54,0,1027.32,3974.35
2/1/2020,12:00:00,7680.36,6501.57,807.79,0,1003.65,3982.7
2/1/2020,12:30:00,7723.33,6535.92,830.32,0,992.98,4020.25
2/1/2020,13:00:00,7778.99,6629.44,861.49,0,984.31,4062.5
2/1/2020,13:30:00,7854.25,6758.53,911.78,0,1006.62,4127.72
2/1/2020,14:00:00,7991.33,6925.13,973.96,0,1009.6,4247.99
2/1/2020,14:30:00,8116.61,7091.71,1010.47,0,988.69,4387.02
2/1/2020,15:00:00,8336.8,7289.63,1082.62,0,997.84,4488.84
2/1/2020,15:30:00,8585.11,7564,1163.35,0,1007.97,4654.34
2/1/2020,16:00:00,8823.92,7744.76,1288.13,0,1043.19,4824.55
