# PV data for 2020 calendar year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# data goes from 1/1/2020* 12am (actually 2021) to 31/12/2020 11pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# https://www.renewables.ninja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Copyright RenewableNinjas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Polygon ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002
0,0,0,0.002,0,0.003,0.019,0.003,0.032,0.11,0.018,0,0,0,0.003,0.01,0.03,0,0,0,0,0.068,0.159,0.086,0,0,0.011,0.003,0.003,0.025,0.041,0.032,0.025,0.02,0.106,0.007,0.028,0.076,0.06,0.155,0.054,0.042,0.117
0.025,0.014,0.009,0.072,0.212,0.135,0.129,0.36,0.403,0.49,0.121,0.017,0.041,0.053,0.062,0.091,0.137,0.012,0.03,0.045,0.068,0.192,0.402,0.231,0.009,0.22,0.372,0.074,0.037,0.053,0.125,0.219,0.294,0.135,0.195,0.036,0.158,0.246,0.14,0.408,0.159,0.139,0.288
0.112,0.07,0.049,0.206,0.409,0.285,0.32,0.559,0.583,0.64,0.265,0.119,0.157,0.193,0.232,0.277,0.309,0.099,0.13,0.167,0.125,0.215,0.556,0.436,0.073,0.563,0.572,0.202,0.089,0.1,0.252,0.542,0.534,0.378,0.315,0.117,0.384,0.481,0.182,0.53,0.277,0.389,0.551
0.228,0.136,0.099,0.312,0.532,0.414,0.482,0.645,0.663,0.702,0.412,0.299,0.335,0.366,0.407,0.451,0.48,0.268,0.315,0.347,0.168,0.313,0.639,0.633,0.243,0.672,0.655,0.466,0.151,0.155,0.438,0.71,0.62,0.563,0.417,0.293,0.53,0.62,0.202,0.653,0.404,0.489,0.659
0.346,0.212,0.165,0.382,0.581,0.509,0.633,0.685,0.696,0.727,0.506,0.463,0.49,0.484,0.543,0.583,0.6,0.435,0.48,0.506,0.228,0.347,0.685,0.727,0.603,0.641,0.721,0.634,0.23,0.222,0.535,0.754,0.668,0.589,0.485,0.501,0.492,0.633,0.247,0.751,0.468,0.627,0.744
