# Rooftop PV data for 2010 calendar year
# Derived from original 1MW trace files at:
# http://www.climatechange.gov.au/reducing-carbon/aemo-report-100-renewable-electricity-scenarios
#
# Copyright (C) 2012 Australian Energy Market Operator Limited

# Region (based off capital city)
# QLD,NSW,VIC,SA,Tas

0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0.0057580365,0,0,0.0033335444,0.0052018092
0.4150709776,0.2135567106,0.1296870717,0.3036362964,0.3821414818
0.565294445,0.3345672417,0.2358554444,0.48608949,0.6143015552
0.4718563968,0.2711944889,0.2085551029,0.5225422936,0.6533042716
0.4273405176,0.2328916103,0.2066075781,0.527544446,0.6382575265
0.3908522676,0.2221339465,0.2247420296,0.512738343,0.591365385
0.3273845941,0.2366273243,0.2514487656,0.4474726871,0.5012837288
0.1900212538,0.1649769876,0.1976557036,0.3408844983,0.3578313868
0.0668009297,0.0648007481,0.0883576176,0.1856688385,0.1848787234
0.012574043,0.0035302612,0.0104773141,0.0466936643,0.0415603824
0,0,0,0.0029488606,0.0012077978
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0.0216752948,0.0189745681,0.0125543012,0,0.0071590509
0.102800522,0.0969200301,0.0667720245,0.0367859766,0.0677158965
0.2181461556,0.1934008252,0.1485486251,0.1218281924,0.1394100934
0.3398135158,0.3239430455,0.2472300196,0.2338569057,0.2392409084
0.4626042231,0.4250549945,0.3681382437,0.3586639292,0.3829039936
0.5507712506,0.4258073354,0.3583118381,0.3653683201,0.5392970509
0.5271757892,0.28477087,0.2694889272,0.5191735883,0.6050017171
0.4472921513,0.3464412625,0.4277570311,0.6187507494,0.5846092023
0.4741366447,0.3603000199,0.4957429981,0.6109111317,0.5581589283
0.4419349252,0.2716658294,0.4591670858,0.5309423876,0.5692502016
0.3557977395,0.2861069209,0.3056656464,0.3823946593,0.4898764575
0.2199650352,0.1658241163,0.1711054694,0.3244722926,0.350866332
0.0680944028,0.0680870756,0.1133130232,0.2156014396,0.1912433586
0.0028246899,0.0062824053,0.0263976692,0.0636407732,0.0366034471
0,0,0,0.0038524279,0.0017132964
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0.0299506172,0.0102583914,0.0112446755,0.0004966794,0.0128560672
0.1151236057,0.0839518204,0.0808891086,0.0379437497,0.0632958303
0.2414755047,0.168889588,0.1648617577,0.1433321511,0.1654349044
0.3388923856,0.2296997038,0.2103140478,0.2697779532,0.2337166736
0.3697565834,0.2354869645,0.2364449995,0.3828908158,0.3332838841
0.3876234037,0.1954846304,0.2543479385,0.4894428893,0.4347985405
0.2925701204,0.2199891407,0.2868583665,0.5805286361,0.4930338648
0.2710742862,0.279430947,0.3561959847,0.6702671071,0.509611949
0.2390008931,0.2382252651,0.4165332874,0.6565704342,0.4580963191
0.2383922797,0.2061791532,0.4007627269,0.6428538119,0.4363630932
0.2088425799,0.133126414,0.3360103218,0.5619200992,0.4348055575
0.1198033254,0.0885883253,0.26677315,0.4206657864,0.3136138844
0.0593354202,0.0509189052,0.1463661854,0.2430735513,0.1636149336
0.0076166277,0.0035454502,0.018897309,0.0624019468,0.0445776373
0,0,0,0.0034881956,0.0015992751
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0.0163567273,0.0210503775,0.0138786213,0.0020045241,0.0118321494
0.0845615729,0.0952430484,0.080259861,0.0436101845,0.0783918112
0.1788313334,0.1539799079,0.2244928579,0.1820674469,0.24476795
0.2777110284,0.2477066554,0.3872191589,0.3675488293,0.406897155
0.3754056227,0.273274472,0.4921999967,0.5216196315,0.5387965063
0.4545985468,0.2522691646,0.5257824463,0.6341740816,0.6309154259
0.4578509699,0.223733569,0.5404871416,0.6996495506,0.6764205443
0.4323611323,0.1792292677,0.5277892669,0.7261840382,0.6617456991
0.4162057472,0.2541563614,0.5208751569,0.7149246377,0.6483362495
0.3521226781,0.2980946872,0.4798384552,0.6525086575,0.5984174504
0.2715790248,0.2736753332,0.3978551296,0.5466833632,0.5091614588
0.2049040835,0.1678891169,0.2943646238,0.4106678446,0.3699845631
0.0851118237,0.0704511779,0.1509196446,0.2392408493,0.1947169978
0.0147169531,0.0055020378,0.0129219348,0.0607474667,0.0358629218
0,0,0,0.0031922387,0.0016230486
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0.0215352067,0.0220833365,0.0174908335,0.0032821316,0.0108051442
0.1019000954,0.0816394998,0.0809678456,0.0440463035,0.0683177195
0.199174907,0.2317812158,0.2587740576,0.1812484876,0.2102956301
0.2906650353,0.3545113832,0.4225273414,0.3682654617,0.3518657839
0.3407571344,0.4582937524,0.5540668379,0.5210097975,0.4373840639
0.3653203089,0.48499245,0.6431481551,0.631284851,0.5169966192
0.358834917,0.4977898885,0.6944746116,0.6941737707,0.5236954966
0.4091931282,0.5352476258,0.6909427889,0.7164002091,0.5950142149
0.3371855908,0.4664106555,0.659529008,0.7132650499,0.590663687
0.3343661578,0.2357525236,0.4845004612,0.6592845912,0.4600353447
0.2955194861,0.1195723539,0.3611743966,0.5585433109,0.3739648283
