# Demand data for 2015,,,,,,,
# Copyright (C) 2014 Australian Energy Market Operator Limited,,,,,,,
#,,,,,,,
Date,Time,NSW1,QLD1,SA1,SNOWY1,TAS1,VIC1
1/1/15,0:30:00,6920.94,6062.18,1434.88,,938.1,4594.19
1/1/15,1:00:00,6668.71,5953.53,1375.9,,947.69,4395.72
1/1/15,1:30:00,6327.71,5784.95,1277.34,,939.93,4225.04
1/1/15,2:00:00,6056.02,5640.2,1206.07,,921.27,4051.82
1/1/15,2:30:00,5827.97,5562.55,1141.95,,920.8,3945.14
1/1/15,3:00:00,5711.33,5466.28,1099.92,,927.77,3861.07
1/1/15,3:30:00,5653.85,5393.31,1095.92,,911.63,3791.92
1/1/15,4:00:00,5625.27,5329.91,1107.06,,912.89,3771.59
1/1/15,4:30:00,5618.95,5341.62,1099.9,,893.66,3765.99
1/1/15,5:00:00,5580.51,5304.85,1118.93,,893.27,3781.36
1/1/15,5:30:00,5589.51,5257.01,1143.32,,888.92,3771.39
1/1/15,6:00:00,5646.63,5285.44,1128.97,,896.99,3790.19
1/1/15,6:30:00,5806.57,5365.88,1132.97,,923.6,3882.4
1/1/15,7:00:00,5998.21,5478.84,1101.84,,954.85,3939.12
1/1/15,7:30:00,6221.81,5629.67,1063.58,,949.07,3915.53
1/1/15,8:00:00,6361.85,5764.55,985.1,,952.89,3987.38
1/1/15,8:30:00,6572.36,5937.4,966.22,,880.96,4015.35
1/1/15,9:00:00,6777.41,6042.13,976.92,,953.72,4048.26
1/1/15,9:30:00,6984.62,6148.56,985.85,,988.8,4090.48
1/1/15,10:00:00,7149.04,6260.04,978.43,,1000.32,4173.39
1/1/15,10:30:00,7298.73,6323.59,999.54,,984.48,4190.55
1/1/15,11:00:00,7473.69,6425.48,1044.36,,1005.6,4240.28
1/1/15,11:30:00,7657.83,6465.58,1035.58,,1006.89,4262.65
1/1/15,12:00:00,7799.16,6471.27,1080.09,,986.65,4237
1/1/15,12:30:00,7916.74,6555.5,1089.83,,973.62,4180.52
1/1/15,13:00:00,8056.15,6638.53,1148.98,,941.82,4211.01
1/1/15,13:30:00,8266.21,6699.1,1222.79,,929.65,4279.97
1/1/15,14:00:00,8448.61,6768,1245.41,,917.77,4388.31
1/1/15,14:30:00,8672.66,6780.05,1308.38,,916.34,4391.74
1/1/15,15:00:00,8853.28,6845.2,1376.71,,918.72,4435.57
1/1/15,15:30:00,9053.87,6921.05,1433.14,,941.11,4496.63
1/1/15,16:00:00,9167.67,7073.98,1513.08,,963.03,4511.82
1/1/15,16:30:00,9198.8,7135.12,1590.05,,992.45,4587.15
1/1/15,17:00:00,9324.24,7203.26,1657.77,,1024.61,4699.26
1/1/15,17:30:00,9253.41,7199.16,1758.96,,1031.17,4726.63
1/1/15,18:00:00,9063.39,7188.55,1813.97,,1047.02,4748.53
1/1/15,18:30:00,8904.95,7149.07,1841.24,,1048.5,4701.77
1/1/15,19:00:00,8722.41,7186.98,1849.89,,1040.32,4631.58
1/1/15,19:30:00,8592.39,7237.55,1831.45,,1062.67,4525.04
1/1/15,20:00:00,8600.25,7275.09,1787.84,,1074.99,4529.2
1/1/15,20:30:00,8441.17,7156.44,1724.9,,1091.42,4574.98
1/1/15,21:00:00,8202.75,6915.81,1711.67,,1062.67,4566.32
1/1/15,21:30:00,8023.55,6785.01,1628.05,,1039.56,4407.49
1/1/15,22:00:00,7785.96,6634.49,1586.89,,1027.46,4217.13
1/1/15,22:30:00,7653.88,6504.87,1541.4,,1016.79,4115.35
1/1/15,23:00:00,7403.39,6283.46,1516.33,,988.94,4136.53
1/1/15,23:30:00,7173.16,6152.58,1438.87,,963.73,4479.72
2/1/15,0:00:00,7021.85,5951.04,1646.49,,948.44,4477.62
2/1/15,0:30:00,6822.81,5773.08,1485.42,,936.62,4196.31
2/1/15,1:00:00,6558.29,5613.66,1386.17,,943.73,4040.57
2/1/15,1:30:00,6242.62,5469.95,1314.17,,942.3,3916.25
2/1/15,2:00:00,6016.26,5341.7,1248.39,,939.7,3788.88
2/1/15,2:30:00,5867.81,5279.48,1208.38,,937.15,3695.92
2/1/15,3:00:00,5801.32,5284.09,1197.04,,919.02,3643.65
2/1/15,3:30:00,5760.09,5247.36,1181.3,,868.74,3647.35
2/1/15,4:00:00,5772.57,5226.39,1170.48,,848.24,3640.46
2/1/15,4:30:00,5889.18,5281.77,1170.18,,861.08,3647.33
2/1/15,5:00:00,5966.97,5299.36,1184.98,,881.6,3783.58
2/1/15,5:30:00,6181.37,5327.24,1191.23,,897.47,3976.09
2/1/15,6:00:00,6395.72,5380.39,1228.46,,922.32,4052.85
2/1/15,6:30:00,6637.65,5584.14,1250.62,,944.59,4237.12
2/1/15,7:00:00,6910.14,5794.75,1291.28,,930.62,4413.12
2/1/15,7:30:00,7224.8,6036.12,1346.94,,971.44,4380.33
2/1/15,8:00:00,7471.87,6170.81,1410.12,,979.3,4487.83
2/1/15,8:30:00,7806.61,6354.65,1509.81,,986.18,4680.74
2/1/15,9:00:00,8020.69,6502.62,1567.13,,976.01,4781.87
2/1/15,9:30:00,8161.89,6558.09,1640.03,,968.64,4908.14
2/1/15,10:00:00,8372.91,6597.75,1675.67,,960.18,4968.08
2/1/15,10:30:00,8510.58,6659.97,1710.24,,955.43,5034.04
2/1/15,11:00:00,8662.26,6667.24,1785.71,,953.67,5213.81
2/1/15,11:30:00,8810.83,6664.2,1909.7,,934.76,5406.19
2/1/15,12:00:00,8929.2,6705.33,1972.67,,934.45,5561.43
