# OG Demand data for 2010 scaled to represent 2021 annual energy consumption for each state ,,,,,,,
# Copyright (C) 2014 Australian Energy Market Operator Limited + Annual Energy Consumption_state_1999_2021,,,,,,,
#,,,,,,,
Date,Time,NSW1,QLD1,SA1,SNOWY1,TAS1,VIC1
1/1/21,0:30:00,4979.56,4362.97,821.58,0,708.56,3821.75
1/1/21,1:00:00,4771.93,4277.46,793.89,0,692.80,3708.85
1/1/21,1:30:00,4538.26,4173.44,747.54,0,677.56,3950.65
1/1/21,2:00:00,4343.65,4064.11,705.38,0,678.33,3773.25
1/1/21,2:30:00,4172.95,3962.65,676.80,0,669.35,3586.33
1/1/21,3:00:00,4066.46,3889.51,657.90,0,679.01,3459.97
1/1/21,3:30:00,4006.22,3874.38,644.69,0,680.97,3373.19
1/1/21,4:00:00,3960.72,3875.89,636.70,0,674.45,3320.97
1/1/21,4:30:00,3984.20,3855.10,636.76,0,671.72,3314.40
1/1/21,5:00:00,3952.51,3840.03,634.83,0,665.44,3323.08
1/1/21,5:30:00,3977.21,3825.45,631.67,0,661.64,3315.47
1/1/21,6:00:00,4062.10,3857.95,612.77,0,660.80,3328.05
1/1/21,6:30:00,4148.78,3954.78,619.88,0,676.04,3398.63
1/1/21,7:00:00,4296.92,4050.38,637.58,0,703.39,3487.66
1/1/21,7:30:00,4451.02,4254.38,655.68,0,697.97,3490.12
1/1/21,8:00:00,4599.54,4393.42,673.86,0,731.27,3547.41
1/1/21,8:30:00,4792.28,4543.15,682.02,0,756.84,3630.29
1/1/21,9:00:00,4949.05,4652.33,698.09,0,765.99,3667.18
1/1/21,9:30:00,5047.30,4743.59,727.30,0,765.22,3724.92
1/1/21,10:00:00,5143.98,4862.42,745.03,0,761.45,3809.47
1/1/21,10:30:00,5179.78,4927.51,767.64,0,760.84,3804.88
1/1/21,11:00:00,5225.82,4991.59,769.66,0,774.58,3870.35
1/1/21,11:30:00,5242.30,5036.89,775.35,0,765.79,3910.60
1/1/21,12:00:00,5278.47,5074.31,809.82,0,752.50,3911.67
1/1/21,12:30:00,5331.71,5058.86,825.88,0,747.76,3904.51
1/1/21,13:00:00,5316.63,5108.39,822.60,0,748.72,3877.32
1/1/21,13:30:00,5369.65,5100.63,806.17,0,744.02,3865.74
1/1/21,14:00:00,5405.53,5109.32,828.01,0,743.38,3872.23
1/1/21,14:30:00,5420.86,5083.35,840.39,0,753.28,3875.88
1/1/21,15:00:00,5456.92,5050.03,854.48,0,751.89,3898.47
1/1/21,15:30:00,5485.72,5022.58,862.00,0,758.13,3929.75
1/1/21,16:00:00,5557.51,5011.48,867.83,0,771.48,3978.61
1/1/21,16:30:00,5605.92,5043.92,875.85,0,792.28,4032.81
1/1/21,17:00:00,5664.82,5068.99,875.12,0,799.44,4079.73
1/1/21,17:30:00,5634.17,5108.45,889.89,0,783.58,4048.52
1/1/21,18:00:00,5589.24,5131.53,859.51,0,797.35,3980.42
1/1/21,18:30:00,5509.60,5062.67,807.78,0,801.83,3949.81
1/1/21,19:00:00,5448.38,5065.87,785.11,0,793.23,3891.43
1/1/21,19:30:00,5459.58,5063.19,751.21,0,803.14,3856.45
1/1/21,20:00:00,5506.55,5043.76,729.57,0,805.02,3866.01
1/1/21,20:30:00,5466.55,5017.99,726.30,0,821.99,3924.82
1/1/21,21:00:00,5313.83,4940.04,732.15,0,805.41,3862.86
1/1/21,21:30:00,5320.37,4950.03,719.27,0,806.11,3769.80
1/1/21,22:00:00,5289.63,4786.61,682.83,0,796.54,3651.05
1/1/21,22:30:00,5235.40,4661.63,647.09,0,772.89,3560.24
1/1/21,23:00:00,5127.79,4639.78,649.16,0,743.58,3466.18
1/1/21,23:30:00,4962.58,4522.95,643.88,0,748.54,3658.16
2/1/21,0:00:00,4830.06,4383.17,745.32,0,755.76,3591.09
2/1/21,0:30:00,4682.41,4229.26,724.66,0,742.30,3456.76
2/1/21,1:00:00,4527.10,4099.72,680.66,0,735.03,3311.71
2/1/21,1:30:00,4323.10,3986.45,619.60,0,723.16,3529.25
2/1/21,2:00:00,4143.07,3872.51,592.33,0,711.97,3403.82
2/1/21,2:30:00,4047.57,3805.43,567.09,0,710.22,3317.88
2/1/21,3:00:00,3968.47,3785.58,547.16,0,697.87,3157.30
